                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7599,                 4.9978,                 4.3026,                  9e-05,                0.00202,                  4e-05,                  1e-05,                 5.3275,                 5.5802,                 4.1776,                0.00044,                0.00044,                0.00044
                      2,                 4.0916,                 4.1455,                 3.6739,                  9e-05,                0.00223,                  4e-05,                  1e-05,                 5.3716,                 5.3977,                 4.2731,              0.0008109,              0.0008109,              0.0008109
                      3,                 3.5337,                 3.2793,                 3.0365,                  7e-05,                0.00162,                  3e-05,                  1e-05,                 5.4285,                 5.1224,                 4.4399,              0.0010907,              0.0010907,              0.0010907
                      4,                 3.2195,                 2.8749,                 2.5945,                0.00016,                0.00142,                  8e-05,                  2e-05,                 5.4691,                 5.3246,                 4.5903,              0.0012795,              0.0012795,              0.0012795
                      5,                 3.0659,                 2.5606,                 2.3133,                 0.0021,                0.01073,                0.00406,                0.00099,                 4.5852,                 4.7254,                 3.7772,               0.001208,               0.001208,               0.001208
                      6,                 2.9345,                 2.3067,                 2.0818,                0.12808,                0.03765,                0.02079,                0.00625,                 3.3746,                 3.3659,                  2.609,                0.00101,                0.00101,                0.00101
                      7,                 2.8545,                 2.2226,                 2.0213,                0.16691,                0.10344,                0.05312,                0.01583,                 3.1463,                 3.0326,                 2.1694,               0.000812,               0.000812,               0.000812
                      8,                 2.7968,                 2.0604,                 1.8741,                0.23466,                0.14238,                0.09637,                0.02754,                 3.0802,                 2.7493,                 2.0108,               0.000614,               0.000614,               0.000614
                      9,                 2.7641,                 1.9792,                 1.8513,                 0.2697,                0.16559,                0.12025,                0.03587,                 3.0294,                 2.4853,                  1.953,               0.000416,               0.000416,               0.000416
                     10,                 2.6712,                 1.8992,                 1.7924,                0.29839,                0.17218,                0.12813,                0.03729,                 3.0247,                 2.4111,                 1.9753,               0.000218,               0.000218,               0.000218
