                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5263,                 3.3989,                 2.9111,                0.00197,                0.12854,                0.00406,                0.00147,                 4.3877,                 3.9624,                 2.3769,               0.068059,             0.00065185,             0.00065185
                      2,                  3.984,                 2.7908,                 2.0423,                0.00329,                0.01538,                0.00297,                0.00079,                  4.186,                 50.042,                 1.9576,               0.035366,              0.0012924,              0.0012924
                      3,                 3.4771,                 2.4789,                 1.6993,                0.07698,                0.06032,                 0.0202,                0.00536,                 3.6602,                 3.2812,                 1.7123,              0.0026473,              0.0019066,              0.0019066
                      4,                 3.2137,                 2.3066,                 1.5722,                0.08879,                0.07874,                0.02075,                0.00558,                 3.5364,                 3.4312,                 1.7068,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.0888,                 2.1921,                 1.4913,                0.12262,                0.10223,                  0.045,                0.01149,                 3.3202,                 3.1806,                 1.5541,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.9335,                 1.9986,                  1.417,                0.22972,                0.16437,                0.09963,                0.02847,                 3.0783,                 3.4429,                 1.4724,               0.001802,               0.001802,               0.001802
                      7,                 2.8529,                 1.9091,                 1.3706,                0.17427,                0.13927,                0.06514,                0.01751,                 3.1869,                 3.6621,                 1.5364,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.7623,                 1.7985,                 1.3682,                0.35155,                0.17504,                0.13306,                0.03753,                 3.0639,                 2.4046,                 1.4875,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.7111,                  1.718,                 1.3645,                0.38279,                0.18725,                0.15701,                0.04133,                 3.0454,                 2.3539,                 1.4521,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.7115,                 1.6976,                 1.3231,                0.40865,                0.19858,                0.17326,                 0.0493,                 2.9799,                 2.2669,                 1.4495,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.6407,                 1.6385,                 1.2973,                0.42901,                0.21019,                0.19299,                0.05497,                 2.9454,                 2.1571,                 1.4425,               0.001604,               0.001604,               0.001604
                     12,                 2.5619,                  1.604,                  1.287,                 0.4419,                 0.2413,                0.21758,                0.06153,                 2.8794,                 2.1349,                 1.3718,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.5567,                 1.5024,                 1.2802,                0.39983,                0.23239,                0.19906,                0.05515,                 2.9078,                 2.1414,                 1.3965,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.4842,                 1.5243,                 1.2718,                0.46988,                0.24109,                0.22699,                0.06589,                 2.8507,                  2.062,                 1.3838,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.4714,                 1.4709,                 1.2602,                0.49179,                0.22692,                0.21934,                0.06487,                 2.8624,                 2.0486,                 1.4071,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.4587,                 1.4589,                 1.2495,                0.44851,                0.22551,                0.21152,                0.06044,                 2.8379,                 2.0709,                 1.3957,               0.001406,               0.001406,               0.001406
                     17,                 2.4063,                 1.4481,                 1.2344,                0.46365,                0.24656,                0.23685,                 0.0698,                  2.819,                 1.9898,                 1.3768,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.3939,                 1.4348,                 1.2293,                0.47548,                0.24939,                0.23801,                0.06947,                 2.7858,                 2.0548,                 1.3845,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.3291,                 1.4172,                  1.247,                0.47147,                0.23421,                0.22661,                0.06889,                 2.7877,                 2.0937,                 1.3557,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.3302,                 1.3835,                 1.2155,                0.46813,                0.23482,                0.22661,                0.06966,                 2.8074,                  1.987,                  1.382,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.3365,                 1.3681,                 1.2062,                0.47759,                0.25425,                0.24242,                0.07398,                 2.7626,                 1.9047,                  1.374,               0.001208,               0.001208,               0.001208
                     22,                 2.3118,                  1.355,                 1.2069,                0.50294,                 0.2581,                0.25237,                0.07619,                 2.7631,                 1.8786,                 1.3725,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.2938,                 1.3677,                 1.1941,                 0.5079,                 0.2549,                0.25615,                0.07686,                 2.7603,                 1.8991,                 1.3368,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.2671,                 1.3063,                 1.1908,                0.47044,                0.25425,                0.24786,                0.07529,                 2.7321,                 1.9181,                  1.335,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.2874,                 1.3363,                 1.1939,                0.49711,                0.26093,                0.25107,                 0.0748,                 2.7009,                 1.9307,                 1.3103,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.2805,                 1.3318,                 1.1843,                0.53378,                0.27065,                0.26936,                0.08593,                  2.701,                 1.8188,                 1.3334,                0.00101,                0.00101,                0.00101
                     27,                 2.2421,                  1.283,                 1.1866,                0.55062,                0.28036,                0.28392,                0.08411,                 2.6981,                 1.7667,                 1.3222,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.2243,                 1.2853,                 1.1797,                0.54219,                0.26275,                0.26711,                0.08641,                 2.6828,                 1.8066,                 1.3323,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.2609,                 1.3042,                 1.1831,                0.54385,                 0.2666,                0.27074,                0.08383,                 2.6738,                 1.8277,                 1.3127,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.1873,                 1.2579,                  1.184,                0.52393,                0.28138,                 0.2858,                0.09044,                 2.6667,                 1.7697,                 1.3259,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.2111,                  1.256,                 1.1565,                0.54969,                 0.2733,                0.27975,                0.08819,                 2.6788,                 1.7689,                 1.3197,               0.000812,               0.000812,               0.000812
                     32,                 2.1735,                 1.2257,                 1.1574,                0.52919,                0.28988,                0.29528,                0.09592,                 2.6537,                 1.7245,                 1.2998,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.1886,                 1.2294,                 1.1522,                0.54065,                0.28543,                 0.2906,                0.09464,                 2.6209,                 1.7499,                 1.2884,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.1719,                 1.2378,                  1.158,                 0.5393,                0.27733,                0.28377,                0.09007,                 2.6967,                 1.7659,                  1.336,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.2224,                 1.2355,                 1.1626,                0.55042,                0.29008,                0.30181,                0.09742,                 2.6206,                 1.7357,                 1.2906,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.1516,                  1.206,                 1.1472,                0.59131,                0.28745,                0.30151,                0.09401,                  2.642,                 1.6865,                 1.2966,               0.000614,               0.000614,               0.000614
                     37,                 2.1713,                 1.2006,                 1.1504,                0.55482,                0.29777,                0.30815,                0.09838,                 2.5991,                 1.7244,                 1.2939,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.1357,                 1.2013,                 1.1419,                0.55971,                0.27753,                0.29158,                0.09564,                  2.625,                 1.7338,                 1.3153,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.1234,                 1.1766,                 1.1445,                 0.5582,                 0.2913,                0.30809,                0.10045,                  2.608,                 1.7081,                 1.2821,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.1267,                 1.1591,                 1.1253,                0.56611,                0.29372,                0.31352,                0.10087,                 2.6317,                 1.6607,                 1.2974,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.1277,                 1.2455,                 1.1556,                0.56022,                0.27409,                0.28352,                0.08964,                 2.6661,                 1.8099,                 1.3262,               0.000416,               0.000416,               0.000416
                     42,                 2.0915,                 1.2157,                 1.1484,                0.57774,                0.29757,                0.31699,                0.10425,                 2.5706,                 1.6932,                 1.2797,              0.0003764,              0.0003764,              0.0003764
                     43,                  2.033,                 1.1687,                 1.1384,                0.57726,                 0.2836,                0.29764,                0.09592,                 2.6009,                 1.6835,                 1.3018,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0369,                   1.15,                 1.1256,                 0.6033,                0.29615,                0.32116,                0.10594,                 2.5723,                 1.6523,                 1.2699,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.0377,                 1.1462,                 1.1214,                0.60765,                 0.2925,                0.32272,                0.10715,                 2.5703,                 1.6476,                 1.2755,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.0575,                 1.1663,                  1.133,                0.59565,                0.30058,                0.32461,                0.10463,                 2.5749,                 1.6165,                 1.2828,               0.000218,               0.000218,               0.000218
                     47,                 2.0625,                 1.1472,                 1.1302,                0.58116,                0.30425,                0.32993,                0.10751,                 2.5664,                 1.6084,                 1.2759,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.0572,                 1.1263,                 1.1217,                0.58863,                0.30405,                0.32932,                0.10839,                  2.567,                 1.6269,                 1.2759,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.0103,                 1.1125,                 1.1196,                 0.5778,                0.29555,                0.31792,                 0.1053,                 2.5917,                 1.6563,                 1.2857,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.0331,                 1.1163,                 1.1279,                0.59374,                    0.3,                0.32654,                0.10767,                   2.57,                 1.6273,                 1.2709,               5.96e-05,               5.96e-05,               5.96e-05
