                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3217,                 3.2773,                 2.4006,                0.00157,                 0.0895,                0.00258,                0.00098,                 4.1096,                 3.7476,                 1.8509,                 0.0677,             0.00065918,             0.00065918
                      2,                 3.4654,                 2.5697,                 1.5583,                0.11522,                   0.13,                0.04371,                0.01162,                  3.398,                 2.9256,                 1.5252,               0.035007,              0.0012996,              0.0012996
                      3,                 3.1939,                 2.2859,                 1.4374,                0.25588,                  0.183,                0.11662,                0.03022,                 3.1438,                 4.5439,                 1.4691,              0.0022881,              0.0019136,              0.0019136
                      4,                 2.9878,                 2.0647,                 1.3688,                0.34308,                 0.2265,                0.17865,                0.04802,                 2.9511,                 2.1637,                 1.3882,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8824,                 1.9375,                 1.3483,                0.37775,                  0.226,                0.19133,                0.05423,                 2.8827,                  2.178,                 1.3887,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.7662,                 1.8101,                 1.3004,                0.44701,                  0.257,                0.24213,                0.06616,                 2.8556,                  2.895,                 1.3134,               0.001802,               0.001802,               0.001802
                      7,                  2.689,                 1.7173,                 1.2845,                0.45937,                  0.279,                0.25658,                0.07566,                 2.7612,                 1.8409,                 1.3193,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.6279,                 1.6807,                 1.2698,                0.46852,                 0.2915,                0.27382,                0.07394,                  2.754,                 1.7516,                 1.3157,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5887,                 1.6364,                 1.2569,                0.55292,                   0.33,                0.33164,                0.09617,                 2.6724,                 1.6681,                  1.278,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.5385,                 1.5906,                 1.2426,                0.52911,                  0.328,                 0.3386,                0.10249,                 2.6362,                 1.6859,                 1.2765,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.5212,                 1.5626,                 1.2308,                0.49112,                 0.3235,                 0.3034,                0.08404,                 2.6534,                 1.8037,                 1.3174,               0.001604,               0.001604,               0.001604
                     12,                 2.4719,                 1.5281,                 1.2244,                0.51476,                 0.3205,                0.32691,                0.10012,                  2.613,                 1.6445,                 1.2426,              0.0015644,              0.0015644,              0.0015644
                     13,                  2.459,                 1.5141,                 1.2155,                0.53849,                 0.3375,                0.34706,                0.10578,                 2.6039,                 1.6387,                 1.2596,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.4064,                 1.4581,                 1.1961,                0.57258,                0.34963,                0.37144,                0.11535,                 2.5848,                 1.4889,                  1.282,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.4289,                 1.4601,                 1.1952,                 0.6134,                  0.358,                0.38167,                0.11875,                 2.5683,                 1.4818,                 1.2612,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.3711,                  1.418,                 1.1797,                 0.6286,                0.36473,                0.40347,                0.12595,                 2.5347,                 1.4336,                 1.2479,               0.001406,               0.001406,               0.001406
                     17,                 2.3492,                 1.4116,                 1.1895,                0.61772,                 0.3855,                0.41917,                0.12873,                 2.5356,                 1.4432,                  1.257,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.3767,                  1.404,                 1.1858,                0.63698,                  0.378,                 0.4177,                0.13049,                 2.5297,                 1.4426,                 1.2464,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.3194,                 1.3604,                 1.1696,                0.64213,                 0.3895,                0.43864,                0.13942,                 2.4786,                 1.3662,                 1.2485,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.3074,                 1.3408,                 1.1774,                0.56602,                 0.3875,                0.40538,                  0.129,                 2.4922,                 1.4177,                 1.2441,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.3078,                 1.3485,                 1.1735,                0.64499,                 0.3895,                0.42858,                0.13453,                 2.5041,                 1.4183,                 1.2665,               0.001208,               0.001208,               0.001208
