                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2368,                 3.3408,                 2.3044,                0.00109,                 0.0735,                0.00234,                 0.0006,                 4.1168,                 3.9809,                 1.7821,               0.067536,             0.00049438,             0.00049438
                      2,                 3.5754,                 2.7567,                 1.5705,                0.15526,                 0.1335,                0.05601,                0.01296,                 3.4554,                 3.5334,                 1.5646,               0.034692,             0.00098449,             0.00098449
                      3,                 3.2716,                 2.4799,                 1.4284,                0.21778,                  0.165,                0.10111,                0.02545,                 3.2057,                 3.0992,                 1.3603,              0.0018392,              0.0014646,              0.0014646
                      4,                 3.0801,                   2.23,                 1.3711,                0.34599,                  0.214,                 0.1695,                0.04604,                  2.969,                 2.2384,                 1.3397,              0.0014552,              0.0014552,              0.0014552
                      5,                 2.9427,                 2.0901,                 1.3571,                0.41235,                 0.2185,                0.19538,                0.05455,                 2.8931,                 1.9935,                  1.377,              0.0014403,              0.0014403,              0.0014403
                      6,                 2.8836,                 2.0171,                 1.3262,                0.35511,                  0.278,                0.21733,                 0.0554,                 2.8527,                 2.3714,                  1.342,              0.0014254,              0.0014254,              0.0014254
                      7,                 2.7964,                 1.9393,                 1.3094,                0.48132,                 0.2835,                0.26722,                0.07452,                 2.7775,                 1.9267,                 1.3205,              0.0014104,              0.0014104,              0.0014104
                      8,                 2.7304,                 1.8525,                 1.2926,                0.40953,                  0.315,                0.26295,                 0.0699,                 2.7364,                 2.2309,                 1.3066,              0.0013955,              0.0013955,              0.0013955
                      9,                 2.6878,                  1.835,                 1.2829,                0.51242,                  0.307,                0.30771,                0.08832,                 2.6962,                 1.7172,                  1.307,              0.0013806,              0.0013806,              0.0013806
                     10,                  2.643,                 1.7519,                 1.2552,                0.48036,                  0.321,                0.30145,                0.09202,                 2.6701,                  1.658,                 1.2825,              0.0013657,              0.0013657,              0.0013657
                     11,                 2.6159,                 1.7204,                 1.2566,                0.53986,                  0.301,                0.30785,                0.08833,                 2.6562,                 1.6429,                  1.258,              0.0013507,              0.0013507,              0.0013507
                     12,                 2.5892,                  1.702,                  1.247,                0.52374,                  0.328,                0.33258,                0.10312,                 2.6469,                 1.6174,                 1.2668,              0.0013358,              0.0013358,              0.0013358
                     13,                 2.5913,                 1.7172,                 1.2496,                0.52654,                  0.332,                0.34007,                0.10131,                 2.6187,                 1.6261,                 1.2576,              0.0013209,              0.0013209,              0.0013209
                     14,                 2.5157,                 1.6338,                 1.2272,                0.54935,                 0.3375,                0.33634,                0.09928,                 2.6171,                 1.6335,                 1.2829,               0.001306,               0.001306,               0.001306
                     15,                 2.5186,                 1.6305,                 1.2247,                0.55754,                  0.337,                0.33874,                0.09365,                 2.5744,                 2.0145,                 1.2412,               0.001291,               0.001291,               0.001291
                     16,                 2.5168,                 1.6299,                 1.2087,                0.56788,                   0.34,                 0.3653,                0.11005,                 2.5752,                 1.5341,                  1.249,              0.0012761,              0.0012761,              0.0012761
                     17,                 2.4763,                 1.6038,                 1.2119,                0.56941,                 0.3445,                0.36713,                0.10758,                  2.571,                 1.5425,                 1.2787,              0.0012612,              0.0012612,              0.0012612
                     18,                 2.4736,                 1.5743,                 1.2037,                0.56958,                  0.372,                0.39084,                   0.12,                 2.5359,                 1.5311,                 1.2227,              0.0012463,              0.0012463,              0.0012463
