                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92966,                 4.6672,                 2.5138,                 1.3881,                0.00333,                      1,                0.08378,                0.04028,                0.00326,                0.97753,                0.08712,                0.03197,                0.86907,                 3.0375,                 2.9343,                 1.4057,                 0.0955,                 0.0005,                 0.0005
                      1,                0.79069,                 2.9349,                 2.4116,                 1.2942,                0.00333,                      1,                0.18085,                0.11221,                 0.0033,                0.98876,                0.18663,                  0.086,                0.66247,                 2.9571,                 2.8096,                 1.2223,               0.090078,              0.0010782,              0.0010782
                      2,                0.66708,                 2.4802,                 2.2741,                 1.1865,                0.00333,                      1,                0.76741,                 0.6078,                 0.0033,                0.98876,                0.73645,                0.43363,                0.59585,                 2.9544,                  2.726,                 1.1811,               0.084633,              0.0016327,              0.0016327
                      3,                0.60494,                 2.2743,                 2.0536,                 1.1526,                0.00333,                      1,                0.94047,                0.75643,                0.00333,                      1,                0.92532,                0.56192,                0.63259,                 2.5471,                 2.6703,                 1.2029,               0.079163,              0.0021634,              0.0021634
                      4,                0.59605,                 2.1332,                  1.681,                 1.1373,                0.00333,                      1,                0.97252,                0.80332,                 0.0033,                0.98876,                0.96066,                0.64674,                0.52824,                 2.0526,                 2.5111,                 1.0784,                0.07367,              0.0026703,              0.0026703
                      5,                0.59646,                 1.9477,                 1.3998,                 1.1267,                0.01328,                      1,                0.96648,                0.80969,                0.01313,                0.98876,                0.93952,                0.61982,                0.61176,                 1.8507,                 2.4168,                 1.1432,               0.068154,              0.0031535,              0.0031535
                      6,                0.56203,                 1.7999,                 1.1879,                 1.0971,                0.48097,                      1,                0.96614,                0.78497,                0.47556,                0.98876,                0.93585,                0.59909,                0.62835,                 2.0004,                 2.4158,                 1.1943,               0.062613,              0.0036129,              0.0036129
                      7,                0.54332,                 1.7239,                 1.0656,                 1.0979,                      1,                0.53911,                0.97995,                0.86355,                      1,                0.53911,                0.97995,                0.64886,                0.54233,                 1.7229,                  2.294,                 1.0815,               0.057049,              0.0040486,              0.0040486
                      8,                0.55193,                 1.5873,                 1.0122,                 1.1286,                      1,                0.84593,                 0.9809,                0.85194,                      1,                0.84593,                 0.9856,                0.73883,                0.53924,                 1.5088,                  2.087,                 1.0662,                0.05146,              0.0044605,              0.0044605
                      9,                0.56938,                 1.7342,                  1.001,                 1.1098,                 0.9731,                0.81305,                0.97098,                0.80625,                 0.9731,                0.81305,                0.96585,                0.67364,                0.59952,                  1.668,                 2.1182,                 1.0973,               0.045849,              0.0048486,              0.0048486
                     10,                0.59792,                 1.6135,                 1.0352,                 1.1232,                0.97703,                0.95594,                0.99231,                0.84883,                0.98852,                0.96718,                0.99422,                0.77761,                0.60926,                 1.3306,                 1.8479,                  1.172,               0.040213,               0.005213,               0.005213
                     11,                0.54139,                 1.4933,                0.89402,                 1.0869,                0.95629,                0.98329,                0.98904,                0.86723,                0.95629,                0.98329,                0.98904,                0.77358,                0.51097,                 1.2209,                 1.7149,                 0.9988,               0.034554,              0.0055536,              0.0055536
                     12,                0.57521,                 1.5175,                0.89137,                 1.0584,                0.88548,                0.91011,                0.93809,                0.70314,                0.89006,                0.90966,                0.92999,                0.63351,                0.74994,                 1.5837,                 1.6726,                  1.301,                0.02887,              0.0058705,              0.0058705
                     13,                0.56636,                 1.3841,                0.83667,                 1.0817,                0.98715,                0.86331,                0.97402,                 0.8188,                0.98715,                0.86331,                0.96592,                0.71059,                0.63171,                 1.5016,                 1.5104,                 1.1122,               0.023164,              0.0061636,              0.0061636
                     14,                0.61141,                 1.4551,                0.86705,                 1.0883,                0.99356,                0.92135,                0.98777,                0.80152,                0.99356,                0.92135,                0.97605,                0.63935,                0.66636,                 2.0793,                 1.4327,                 1.1673,               0.017433,              0.0064329,              0.0064329
                     15,                0.62412,                 1.3833,                0.86588,                 1.1007,                0.97468,                0.98876,                0.99411,                0.81944,                0.97468,                0.98876,                0.99411,                0.77093,                0.65311,                 1.3842,                 1.2649,                 1.1678,               0.011678,              0.0066785,              0.0066785
                     16,                 0.6016,                 1.3448,                 0.8146,                 1.1051,                0.97775,                0.98745,                0.99099,                0.78071,                0.97775,                0.98745,                0.99099,                0.75333,                0.84675,                  1.327,                 1.2673,                 1.4545,               0.006832,               0.006832,               0.006832
                     17,                0.58969,                 1.4966,                0.84995,                 1.1255,                      1,                0.95354,                0.99327,                0.81926,                      1,                0.95354,                0.99327,                0.73425,                0.68096,                 1.4134,                  1.271,                 1.1545,               0.006832,               0.006832,               0.006832
                     18,                0.54781,                 1.2828,                 0.7989,                 1.0593,                0.95628,                0.98319,                0.99093,                 0.8222,                0.96406,                0.98876,                0.99217,                0.72495,                0.60478,                 1.3354,                 1.2917,                 1.1226,               0.006634,               0.006634,               0.006634
                     19,                0.53074,                 1.3767,                0.82424,                 1.0715,                0.99539,                0.95506,                0.99262,                0.86493,                0.98337,                0.94382,                0.97747,                0.68461,                0.53094,                 1.7661,                  1.103,                 1.0375,               0.006436,               0.006436,               0.006436
                     20,                0.59833,                 1.5609,                0.78919,                 1.0889,                0.96641,                0.96976,                0.99112,                 0.8327,                0.96641,                0.96976,                0.98109,                 0.7181,                  0.737,                 1.7598,                 1.1399,                 1.2266,               0.006238,               0.006238,               0.006238
                     21,                0.50352,                 1.2771,                0.73907,                 1.0295,                0.96493,                0.98876,                0.99312,                0.86159,                 0.9854,                0.95506,                0.99118,                0.75142,                0.63524,                 1.5335,                 1.0196,                 1.0801,                0.00604,                0.00604,                0.00604
