                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90292,                 2.4825,                 1.6591,                 1.5607,                 0.0089,                      1,                0.80858,                0.21692,                 0.0086,                0.96629,                0.19821,                0.03352,                 2.2395,                 15.597,                 3.1182,                  2.483,                0.07822,                0.00022,                0.00022
                      1,                0.88954,                 1.9441,                0.93909,                 1.4739,                0.88432,                0.42953,                0.80711,                0.30348,                0.74551,                0.36211,                0.65006,                0.22231,                 1.3157,                 3.9285,                 2.6633,                 2.2262,                0.05545,             0.00044956,             0.00044956
                      2,                0.84608,                 1.8623,                0.84977,                 1.4343,                0.82805,                0.92135,                 0.8982,                 0.3228,                0.79508,                 0.8719,                0.84493,                0.26864,                 1.8756,                  3.711,                  1.773,                 2.3663,               0.032677,             0.00067735,             0.00067735
                      3,                 0.8152,                 1.7633,                0.79443,                 1.3933,                0.81699,                0.93258,                0.91295,                0.56001,                0.80147,                0.91011,                0.87897,                0.47058,                 1.2624,                 1.8748,                 1.0278,                 1.9333,               0.009902,             0.00090202,             0.00090202
                      4,                0.81554,                 1.6234,                0.73272,                 1.3998,                0.88542,                 0.9551,                0.96283,                0.53493,                0.85108,                0.89897,                0.92274,                0.53864,                 1.1979,                 2.0146,                 1.1225,                 1.8547,             0.00098445,             0.00098445,             0.00098445
                      5,                0.80471,                 1.6166,                0.71684,                  1.402,                0.87697,                0.97753,                0.96908,                0.66153,                0.85681,                0.95506,                0.94503,                0.58053,                 1.0802,                 2.0715,                0.86205,                 1.7986,             0.00098445,             0.00098445,             0.00098445
                      6,                0.75943,                 1.5944,                0.68269,                 1.3754,                0.96631,                0.96674,                0.98892,                0.63819,                0.96631,                0.96674,                0.98892,                0.65054,                  1.178,                  1.561,                0.83347,                 1.7574,             0.00097577,             0.00097577,             0.00097577
                      7,                0.71807,                 1.6038,                0.63894,                 1.3212,                 0.9548,                0.86517,                0.94784,                0.57944,                0.94168,                0.85393,                0.92158,                0.55149,                 1.3238,                 1.9272,                 1.0396,                 1.9679,             0.00096524,             0.00096524,             0.00096524
                      8,                0.76327,                 1.5695,                0.65052,                 1.3715,                0.76938,                0.96629,                0.90325,                0.44566,                0.85563,                0.86517,                0.91533,                0.47878,                 1.5312,                 1.4063,                 1.1117,                 2.1064,             0.00095289,             0.00095289,             0.00095289
                      9,                0.76345,                 1.6195,                0.62009,                 1.3704,                0.92156,                0.92412,                0.97135,                0.62184,                0.92156,                0.92412,                0.95976,                0.62877,                 1.1896,                 1.5604,                0.88722,                 1.8659,             0.00093877,             0.00093877,             0.00093877
                     10,                0.71787,                 1.5313,                0.61397,                 1.3341,                0.95512,                0.95656,                0.98045,                0.58197,                0.94396,                0.94628,                0.97157,                0.59524,                 1.3349,                  1.536,                 1.0977,                  1.973,             0.00092294,             0.00092294,             0.00092294
